Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER,WS
Duop Reath,C,32,8.1,1,2.3,0.446,0.7,1.7,0.418,0.3,0.6,0.526,0.601,0.2,0.2,0.833,0.3,0.9,1.2,0.3,0.2,0.3,0.2,0.9,2.9,2.2,10.6,0.6
Yang Hansen,C,43,7,0.7,2.3,0.31,0.1,1,0.119,0.6,1.3,0.448,0.335,0.7,0.8,0.824,0.5,1.1,1.5,0.5,0.1,0.2,0.7,1,2.2,4.4,3.7,-0.5
Rayan Rupert,SG,48,12,1.1,3.1,0.361,0.5,1.5,0.31,0.6,1.6,0.408,0.435,0.2,0.3,0.643,0.5,1.3,1.8,0.7,0.6,0,0.6,1.3,2.9,2.2,8.2,0.6
Robert Williams,C,59,17.1,3,4.2,0.708,0.2,0.4,0.391,2.8,3.8,0.74,0.726,0.6,1,0.596,2.4,4.6,7,1,0.6,1.5,0.8,1.3,6.7,13.3,22.1,4.5
Kris Murray,SF,57,23.4,2.3,4.8,0.467,0.6,2.1,0.279,1.7,2.7,0.617,0.529,0.7,1,0.684,1.6,2,3.6,1.4,0.9,0.4,0.8,1.6,5.8,3.1,9.6,2.2
Sidy Cissoko,SF,75,19.1,1.8,4.5,0.398,0.8,2.6,0.298,1,1.8,0.544,0.487,0.8,1.2,0.659,0.8,1.4,2.2,1.5,0.7,0.3,0.9,2.4,5.1,0.7,7.1,1.3
Blake Wesley,SG,31,11.6,1.8,4,0.452,0.3,1.2,0.278,1.5,2.8,0.523,0.492,0.8,1.5,0.553,0.3,1,1.3,2,0.5,0.2,1,1.1,4.8,2.3,10.8,0.3
Donovan Clingan,C,77,27.2,4.6,8.9,0.52,1.1,3.2,0.341,3.5,5.7,0.621,0.582,1.8,2.6,0.68,4.5,7.1,11.6,2.1,0.6,1.7,1.2,2.4,12.1,7.2,20.9,8.6
Jerami Grant,PF,57,29.7,5.8,12.8,0.453,2.4,6.1,0.389,3.4,6.7,0.513,0.547,4.6,5.6,0.814,1,2.5,3.5,2.1,0.7,0.6,2.1,2.5,18.6,32,15.4,4
Toumani Camara,PF,82,33.3,4.8,10.9,0.44,2.7,7.2,0.37,2.1,3.6,0.579,0.563,1.2,1.7,0.708,1.6,3.6,5.1,2.5,1.1,0.4,1.8,2.9,13.4,2.2,11.3,4.8
Caleb Love,SG,49,20.7,3.9,10,0.388,1.9,6,0.318,2,4,0.49,0.483,0.7,1,0.735,0.5,1.8,2.3,2.5,0.6,0.1,1.3,1,10.4,0.1,10.7,0.6
Shaedon Sharpe,SG,50,29.4,7.8,17.4,0.452,2.1,6.1,0.337,5.8,11.2,0.514,0.511,3.1,3.9,0.787,1,3.3,4.3,2.6,1.4,0.1,2.9,2,20.8,8.4,15.3,1.3
Jrue Holiday,PG,53,29.4,6,13.4,0.451,2.6,6.8,0.378,3.5,6.5,0.527,0.548,1.7,2,0.838,1.3,3.3,4.6,6.1,1,0.1,2.8,1.5,16.3,32.4,16.4,3.6
Deni Avdija,SF,66,33.3,7.5,16.1,0.462,1.9,6,0.318,5.6,10.2,0.547,0.521,7.4,9.2,0.802,1.1,5.8,6.9,6.7,0.8,0.6,3.8,2.5,24.2,14.4,20.3,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,56,21.5,3.7,8.2,0.454,1.3,3.7,0.345,2.5,4.5,0.55,0.526,1.8,2.3,0.766,1.2,2.8,4.1,2.3,0.7,0.5,1.5,1.7,10.4,8.9,13,2.8
