Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,PER ,WS
Ariel Hukporti,C,54,9.2,0.8,1.5,0.563,0,0.1,0.25,0.8,1.4,0.579,0.569,0.5,0.6,0.788,1,1.9,2.9,0.5,0.2,0.5,0.6,1.2,2.2,1.9,11.9,1.2
Guerschon Yabusele,C,41,8.9,1,2.6,0.393,0.5,1.7,0.294,0.5,1,0.564,0.486,0.2,0.3,0.667,0.6,1.5,2.1,0.4,0.1,0.1,0.4,0.9,2.7,5.5,11.1,1.4
Mohamed Diawara,SF,69,9.2,1.3,3.1,0.423,0.7,1.9,0.369,0.6,1.2,0.506,0.535,0.3,0.3,0.75,0.2,1.1,1.4,0.8,0.2,0.1,0.4,0.7,3.6,1.3,10.3,0.9
Tyler Kolek,PG,62,11.7,1.7,4,0.435,0.7,1.8,0.386,1,2.2,0.478,0.524,0.2,0.3,0.7,0.3,1.3,1.6,2.7,0.4,0.1,0.9,1,4.4,2.2,12.5,1.4
Mitchell Robinson,C,60,19.6,2.5,3.4,0.723,0,0,,2.5,3.4,0.723,0.723,0.7,1.7,0.408,4.2,4.6,8.8,0.9,0.9,1.2,0.7,2.1,5.7,12.9,21.1,5.8
Jordan Clarkson,SG,72,17.8,3.3,7.3,0.451,1,3,0.327,2.3,4.3,0.535,0.517,1.1,1.3,0.83,0.9,0.9,1.8,1.3,0.4,0.1,0.9,1.7,8.6,2.3,11.6,1.9
Landry Shamet,SG,51,23,3.1,7.1,0.437,2,5.2,0.392,1.1,2,0.554,0.578,1.1,1.5,0.711,0.5,1.4,1.8,1.4,0.6,0.2,0.6,1.5,9.3,2.3,11.2,2.6
Miles McBride,SG,41,26.3,4.2,9.9,0.423,2.7,6.6,0.413,1.4,3.2,0.444,0.562,0.9,1.1,0.787,0.6,1.9,2.4,2.6,0.9,0.2,0.8,1.7,12,4.3,13.1,2.7
Josh Hart,SF,66,30.2,4.6,9,0.508,1.5,3.7,0.413,3,5.3,0.574,0.593,1.4,1.9,0.72,1.4,6,7.4,4.8,1.1,0.3,1.9,2.5,12,19.5,15.7,6.1
Mikal Bridges,SF,82,32.8,5.8,11.7,0.49,1.9,5.1,0.371,3.9,6.6,0.582,0.571,1,1.2,0.827,1,2.8,3.8,3.7,1.3,0.8,1,2,14.4,24.9,15.3,8
OG Anunoby,PF,67,33.2,5.8,12,0.484,2.3,6.1,0.386,3.5,5.9,0.584,0.581,2.7,3.3,0.828,1.3,4,5.2,2.2,1.6,0.7,1.8,2.4,16.7,39.6,15.8,6.3
Karl-Anthony Towns,C,75,31,6.9,13.8,0.501,1.5,4.1,0.368,5.4,9.7,0.557,0.556,4.8,5.5,0.858,3.1,8.7,11.9,3,0.9,0.5,2.5,3.4,20.1,53.1,22,9.5
Jalen Brunson,PG,74,35,9.3,19.9,0.467,2.6,7.1,0.369,6.7,12.8,0.522,0.533,4.8,5.7,0.841,0.4,2.9,3.3,6.8,0.8,0.1,2.4,2.3,26,34.9,20.1,8.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG Totals:,,64,22.1,5.1,10.7,0.477,1.3,3.6,0.361,3.8,7.1,0.535,0.551,2.7,3.2,0.844,0.7,2.4,3.1,3.7,0.5,0.3,1.5,1.8,14.1,18.4,16,5
